OBJECTID;profileId;TIPO;EPIPEDON;ENDOPEDON;ORDEN;SUBORDEN;GRANGRUPO;SUBGRUPO;FAMILIA_TE;LATITUD;LONGITUD;pH.0_30_spline;pH.30_100_spline;pH.0_30_Sum.Pond;pH.30_100_Sum.Pond;DEM;AnHill;Slo;Aspect;Plan_Curv;Prof_Curv;Conv_Ind;Closs_Dep;TotCatchAr;TWI;LSfactor;CHBL;CND;VD;RSP;MRVBF;MRRTF;TRI;visSky;SkyVF;Pos_Op;Neg_Op;TPI;clima;tipo_relieve;ndvi
241;DC-034;OBSERVACION;OCRICO;NO HAY;ENTISOL;ORTHENTS;USTORTHENTS;TYPIC USTORTHENTS;FRANCA GRUESA SOBRE FRAGMENTAL;9.503777778;-74.07677778;7.002620195;7.490039802;7;1.928571429;93.02004242;0.774149776;0.036865402;4.254728317;2.36E-06;-0.000307855;0.935305953;0;17808.26172;9.394371033;0.432473719;90.276474;2.74356842;532.5546875;0.005125308;2.324404955;3.572747707;0.987985909;96.91202545;0.997522295;1.522290468;1.563301682;-2.201591492;3;4;0.489971359
242;DC-035;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;VERTIC HAPLUSTEPTS;FINA;9.485055556;-74.07630556;6.005021842;5.655346808;6;2.828571429;82.00740814;0.797013581;0.016454946;3.149095535;2.90E-05;-3.06E-05;-3.699854612;0;3232920.75;15.68729115;0.454091042;82.00740814;0;530.4008789;0;4.932480812;6.644973755;0.443913966;98.2561264;0.998934448;1.543403625;1.566997528;-0.488351345;3;4;0.495453553
243;DC-036;OBSERVACION;MOLICO;CAMBICO;MOLISOL;USTOLLS;HAPLUSTOLLS;TYPIC HAPLUSTOLLS;FINA;9.47075;-74.07311111;6.280310553;6.405268219;6.283333333;2.285714286;92;0.73277384;0.120744929;0.278299659;0.000418397;0.000463841;5.504906654;0;2902.924316;6.469396591;1.425325513;83.10224915;8.897750854;509.90625;0.017150506;0.780558527;0.019227577;2.569046497;94.48865509;0.990769506;1.484224319;1.537631154;-1.703268766;3;4;0.479992357
244;DC-037;OBSERVACION;OCRICO;NO HAY;ENTISOL;ORTHENTS;USTORTHENTS;TYPIC USTORTHENTS;FRAGMENTAL;9.4395;-73.83719444;5.506602141;4.996645949;5.5;4.285714286;57;0.785675764;0.023565862;0.785398185;0.000304225;0.00068969;7.36067915;0;900;6.802394867;0.131635308;44.51603699;12.48396301;535.815918;0.022768496;0.005792145;3.049009085;2.280350924;99.85345459;0.9997859;1.569360733;1.452881813;5.61908865;3;4;0.52944639
245;DC-038;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;DYSTRUSTEPTS;TYPIC DYSTRUSTEPTS;FRANCA FINA;9.441888889;-73.85855556;5.552408501;4.519081079;5.533333333;1.75;62;0.820803404;0.03725056;2.677945137;0.000490571;0.000195172;34.25471115;0;900;6.396929741;0.241198242;54.03808975;7.961910248;529.0673828;0.01482584;7.721971035;4.846657276;1;99.80178833;0.999252915;1.568118453;1.514924407;2.533458948;3;4;0.452439867
246;DC-039;OBSERVACION;OCRICO;NO HAY;ENTISOL;ORTHENTS;USTORTHENTS;TYPIC USTORTHENTS;ARENOSA;9.443527778;-73.86972222;5.393617772;5.249108209;5.383333333;3.757142857;65;0.762268305;0.033110529;4.712388992;-0.000106601;0.000331447;37.2657814;0;1489.867065;7.312783241;0.242768928;62.37038803;2.629611969;525.6635742;0.004977562;7.62252903;5.160534859;0.62847054;98.49211884;0.999129653;1.547110558;1.546260595;0.208641469;3;4;0.440557725
247;DC-040;OBSERVACION;OCRICO;NO HAY;ENTISOL;ORTHENTS;USTORTHENTS;TYPIC USTORTHENTS;ARENOSA;9.459166667;-73.88280556;5.605837005;6.009442055;5.616666667;3.6;70;0.726618528;0.060020342;5.300391674;1.70E-05;0.000401323;1.479949594;0;1895.885742;6.631150723;0.516800046;57.09998322;12.90001678;530.1240234;0.023755886;0.849932134;3.84393239;1.183215976;98.25278473;0.998675168;1.543351173;1.536086202;0.620631158;3;4;0.50725796
248;DC-041;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA GRUESA SOBRE ARCILLOSA;9.450888889;-73.89719444;5.016477923;5.859396919;5.016666667;3.85;67;0.80267036;0.10626249;3.815695047;-3.59E-05;-9.31E-06;-0.089006089;0;1257.95874;5.633749962;0.996118963;63.02676392;3.973236084;525.5571289;0.00750332;0.100490235;0.708265603;2.143297672;98.1193161;0.995898664;1.54125464;1.507064462;1.335338473;3;4;0.41843011
249;DC-042;OBSERVACION;OCRICO;NO HAY;ENTISOL;PSAMMENTS;USTIPSAMMENTS;TYPIC USTIPSAMMENTS;N/A;9.458444444;-73.90538889;6.5;6.5;6.5;6.5;62;0.822154522;0.068357788;1.324890137;5.07E-05;0.000218053;2.613633633;0;3141.488281;7.139307976;0.695224583;57.87179184;4.12820816;535.1591797;0.007654932;2.521191835;2.731413364;1.730250239;95.54605103;0.994222701;1.500833869;1.54835701;-2.029432774;3;4;0.528286554
250;DC-043;OBSERVACION;MOLICO;CAMBICO;MOLISOL;USTOLLS;HAPLUSTOLLS;VERTIC HAPLUSTOLLS;ARCILLOSA SOBRE FRAGMENTAL;9.571638889;-74.04975;5.783616793;7.391491679;5.9;4.914285714;108;0.76458329;0.050420418;0.336593598;6.72E-05;-0.000103727;1.891683221;0;6025.819824;8.046835899;0.528224409;107.4487915;0.551208496;560.8662109;0.000981816;7.822697639;6.965929508;1.395419002;96.66758728;0.997018218;1.518450856;1.560103059;-1.532269478;3;4;0.392037195
